"STID","Seq","Part.Seq","Group","ID","Treatment","Quarter","Year","Distribution","AgeEnroll","AgeSurvey","Gender","PhysicalStatus","Language","ZIP","Race","ChildrenInHome","MaritalStatus","KLSDetermination","timeToExpunge","cenExpungeTime","expunge","Recid","total_benefits","total_wages","total_income","Unemployed","local_unemploy","address_change","late_payments","AQuarter","AQID2","AQID3","AQID4","AQID5","AQID11","AQID12","AQID13","BQuarter","BQID1","BQID2","BQID3","BQID4","BQID5","BQID6","BQID7","BQID8","CQuarter","CQID1","CQID2","CQID3","CQID4","CQID5","CQID6","DQuarter","DQID1","DQID2","DQID3","DQID4","DQID5","DQID6","DQID7","DQID8","EQuarter","EQID1","EQID2","EQID3","EQID4","EQID5","EQID6","pstudy_income","pstudy_wages","pstudy_benefits","pstudy_unemploy","FilingStatus","Dependents","FedAdjGrossIncome","Part","white","Female","Disabled","logIncome","pstudy_logIncome","MissedRent","FullTime","HouseSize","JobSat","JobApply","JobDeter","Homeless","Moved","MovedUtility","HouseSat","MoveAttempt","MoveDeter","LifeSat","Married","dependent","pstudy_employed","LessHighSchool","HighSchool","SomeCollege","College","income_lag","unemploy_lag","fullTime_lag","LifeComp","ps_mRent","ps_fullTime","ps_jobApply","ps_jobDeter","ps_moved","ps_moveAttempt","ps_moveDeter"
"KSSTID0002",5,"1003-5",3,1003,0,"2021Q1",2021,5,45,46,"Female","None","English","67401","White",2,"Married","yes",264,264,1,0,0,20412.36,20412.36,0,2.95,0,0,"2021Q1",2,1,0,2,1,2,4,"2021Q1",1,4,5,0,2,4,0,0,"2021Q1",2,"2",5,2,2,3,"2021Q1",1,1,6,6,4,"2",2,2,"2021Q2",10,10,10,0,10,1,16845.7,16845.7,0,3.07,1,2,"131,151.00",2,1,1,0,9.92394486743838,9.73191007090291,0,1,5,2,0,0,0,0,0,4,0,0,10,1,1,1,0,0,0,1,10.2192365382172,0,0,-0.106416724988483,0,1,1,1,1,0,0
"KSSTID0002",6,"1003-6",3,1003,0,"2021Q2",2021,6,45,46,"Female","None","English","67401","White",2,"Married","yes",264,264,1,0,0,23453.18,23453.18,0,2.766666667,0,0,"2021Q2",2,1,0,2,1,2,4,"2021Q2",1,3,5,0,2,4,0,0,"2021Q2",2,"2",5,2,2,3,"2021Q3",1,1,6,6,4,"2",2,2,"2021Q3",11,10,10,11,1,11,16845.7,16845.7,0,3.07,1,2,"131,151.00",2,1,1,0,10.0628040095886,9.73191007090291,0,1,4,2,0,0,0,0,0,4,0,0,10,1,1,1,0,0,0,1,9.92394486743838,0,1,-3.43251442907991,0,1,1,1,1,0,0
"KSSTID0003",1,"1001-1",2,1001,1,"2019Q4",2019,1,23,23,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,0,0,0,1839.03,1839.03,0,2.966666667,0,0,"2019Q4",2,1,0,2,1,2,3,"2019Q4",5,0,1,1,NA,NA,1,1,"2019Q4",1,"2",3,2,2,3,"2020Q1",4,5,2,6,2,"2",2,1,"2020Q1",3,1,3,1,10,1,607.89,607.89,0,4.16,0,0,"2,758.00",3,0,0,1,7.51753715481794,6.41163762742169,0,0,NA,1,1,0,0,1,1,3,0,0,1,0,0,1,0,0,1,0,6.41163762742169,0,0,3.91428328863758,0,0,1,0,1,0,0
"KSSTID0003",2,"1001-2",2,1001,1,"2020Q2",2020,2,23,23,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,0,0,0,112.5,112.5,0,14.46666667,0,0,"2020Q1",2,3,0,2,1,2,2,"2020Q1",NA,NA,NA,NA,NA,NA,NA,NA,"2020Q2",2,"2",3,2,2,3,"2020Q2",4,5,2,6,1,"1",2,1,"2020Q2",6,6,6,4,5,6,607.89,607.89,0,4.16,0,0,"3,704.00",3,0,0,1,4.73180283692146,6.41163762742169,0,0,NA,1,0,0,0,NA,NA,2,0,0,6,0,0,1,0,0,1,0,7.51753715481794,0,0,0.731207485882506,0,0,1,0,1,0,0
"KSSTID0003",3,"1001-3",2,1001,1,"2020Q3",2020,3,23,23,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,1,0,0,1161.13,1161.13,0,9.1,0,0,"2020Q2",2,1,0,2,2,2,3,"2020Q3",1,0,1,0,2,4,0,0,"2020Q3",NA,NA,NA,NA,NA,NA,"2020Q3",4,5,2,6,0,"0",2,1,"2020Q3",NA,NA,NA,NA,NA,NA,607.89,607.89,0,4.16,0,0,"3,704.00",3,0,0,1,7.05800980722993,6.41163762742169,0,0,1,1,NA,NA,0,0,0,3,NA,NA,NA,0,0,1,0,0,1,0,4.73180283692146,0,0,NA,0,0,1,0,1,0,0
"KSSTID0003",4,"1001-4",2,1001,1,"2020Q4",2020,4,23,NA,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,1,0,0,1981.85,1981.85,0,6.533333333,0,0,"2020Q3",NA,NA,NA,NA,NA,NA,NA,"2020Q4",NA,NA,NA,NA,NA,NA,NA,NA,"2020Q4",NA,NA,NA,NA,NA,NA,"2020Q4",NA,NA,NA,NA,NA,NA,NA,NA,"2020Q4",NA,NA,NA,NA,NA,NA,607.89,607.89,0,4.16,0,0,"3,704.00",3,0,0,1,7.59229048269352,6.41163762742169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,7.05800980722993,0,0,NA,0,0,1,0,1,0,0
"KSSTID0003",5,"1001-5",2,1001,1,"2021Q1",2021,5,23,NA,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,1,0,0,1003.5,1003.5,0,5.7,0,0,"2021Q1",NA,NA,NA,NA,NA,NA,NA,"2021Q1",NA,NA,NA,NA,NA,NA,NA,NA,"2021Q1",NA,NA,NA,NA,NA,NA,"2021Q1",NA,NA,NA,NA,NA,NA,NA,NA,"2021Q1",NA,NA,NA,NA,NA,NA,607.89,607.89,0,4.16,0,0,"18,451.00",3,0,0,1,6.91224518425499,6.41163762742169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,7.59229048269352,0,NA,NA,0,0,1,0,1,0,0
"KSSTID0003",6,"1001-6",2,1001,1,"2021Q2",2021,6,23,NA,"Male","Physical Disabilities","English","67216","Asian",0,"Single","yes",317,317,1,0,0,1296.5,1296.5,0,5.066666667,0,0,"2021Q2",NA,NA,NA,NA,NA,NA,NA,"2021Q2",NA,NA,NA,NA,NA,NA,NA,NA,"2021Q2",NA,NA,NA,NA,NA,NA,"2021Q2",NA,NA,NA,NA,NA,NA,NA,NA,"2021Q3",NA,NA,NA,NA,NA,NA,607.89,607.89,0,4.16,0,0,"18,451.00",3,0,0,1,7.16819461504004,6.41163762742169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,6.91224518425499,0,NA,NA,0,0,1,0,1,0,0
"KSSTID0004",1,"1002-1",2,1002,0,"2019Q4",2019,1,42,42,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,0,8218.71,8218.71,0,2.966666667,0,0,"2019Q4",2,1,0,2,2,2,4,"2019Q4",1,2,4,1,NA,NA,1,1,"2019Q4",1,"1",5,2,2,4,"2020Q1",1,1,6,6,5,"1",2,4,"2020Q1",9,8,8,8,4,1,6913.77,6913.77,0,4.16,0,1,"25,199.00",4,1,1,0,9.01429020762253,8.84141498251894,0,1,3,4,1,1,0,1,1,4,0,0,8,0,1,NA,0,0,0,0,8.84141498251894,0,1,-0.660066094548012,0,1,1,1,1,0,0
"KSSTID0004",2,"1002-2",2,1002,0,"2020Q2",2020,2,42,42,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,2847,6733.6,9580.6,0,14.46666667,0,0,"2020Q1",2,2,2,2,1,1,4,"2020Q1",1,2,3,1,NA,NA,1,1,"2020Q2",2,"2",4,2,2,2,"2020Q2",1,1,6,6,5,"2",2,4,"2020Q2",8,8,9,9,6,10,6913.77,6913.77,0,4.16,0,1,"29,598.00",4,1,1,0,9.1675998716333,8.84141498251894,0,1,3,4,0,0,0,1,1,4,0,0,8,0,1,NA,0,0,0,0,9.01429020762253,0,1,-1.73631592508852,0,1,1,1,1,0,0
"KSSTID0004",3,"1002-3",2,1002,0,"2020Q3",2020,3,42,42,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,0,7295.68,7295.68,0,9.1,0,0,"2020Q2",2,1,0,2,1,2,4,"2020Q3",1,1,3,0,2,4,0,0,"2020Q3",2,"2",5,2,2,4,"2020Q3",1,1,6,6,4,"0",2,4,"2020Q3",7,6,8,3,8,1,6913.77,6913.77,0,4.16,0,1,"29,598.00",4,1,1,0,8.89517472916554,8.84141498251894,0,1,2,4,0,0,0,0,0,4,0,0,6,0,1,NA,0,0,0,0,9.1675998716333,0,1,1.00659571648284,0,1,1,1,1,0,0
"KSSTID0004",4,"1002-4",2,1002,0,"2020Q4",2020,4,42,43,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,0,8658.56,8658.56,0,6.533333333,0,0,"2020Q3",2,1,0,2,1,2,4,"2020Q4",1,2,4,0,2,4,0,0,"2020Q4",2,"2",5,2,2,3,"2020Q4",1,1,6,6,4,"1",2,4,"2020Q4",8,7,8,3,7,NA,6913.77,6913.77,0,4.16,0,1,"29,598.00",4,1,1,0,9.06641919195161,8.84141498251894,0,1,3,4,0,0,0,0,0,4,0,0,7,0,1,NA,0,0,0,0,8.89517472916554,0,1,NA,0,1,1,1,1,0,0
"KSSTID0004",5,"1002-5",2,1002,0,"2021Q1",2021,5,42,43,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,0,7119.85,7119.85,0,5.7,0,0,"2021Q1",2,1,0,2,1,2,4,"2021Q1",1,1,5,0,2,4,0,0,"2021Q1",2,"2",4,2,2,3,"2021Q1",1,1,6,6,4,"1",2,3,"2021Q1",8,7,8,4,7,1,6913.77,6913.77,0,4.16,0,1,"29,559.00",4,1,1,0,8.87078237930303,8.84141498251894,0,1,2,3,0,0,0,0,0,4,0,0,7,0,1,NA,0,0,0,0,9.06641919195161,0,1,0.441148236762393,0,1,1,1,1,0,0
"KSSTID0004",6,"1002-6",2,1002,0,"2021Q2",2021,6,42,43,"Female","No Disabilities","English","67037","White",1,"Widowed","no",1590,730,0,0,0,3936.3,3936.3,0,5.066666667,0,0,"2021Q2",2,1,0,2,1,2,4,"2021Q2",1,1,3,0,2,4,0,0,"2021Q2",2,"2",4,2,2,2,"2021Q2",1,1,6,6,3,"1",2,4,"2021Q3",9,9,8,9,4,8,6913.77,6913.77,0,4.16,0,1,"29,559.00",4,1,1,0,8.27825048819305,8.84141498251894,0,1,2,4,0,0,0,0,0,4,0,0,9,0,1,NA,0,0,0,0,8.87078237930303,0,1,-1.78179581770519,0,1,1,1,1,0,0
"KSSTID0005",1,"1004-1",2,1004,0,"2019Q4",2019,1,45,45,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,0,5710,5710,0,2.966666667,0,0,"2019Q4",2,1,0,2,2,2,4,"2019Q4",1,4,5,1,NA,NA,1,1,"2019Q4",1,"1",5,2,2,4,"2020Q1",1,1,6,6,3,"1",2,2,"2020Q1",7,8,11,9,6,1,13943.48,13943.48,0,4.16,1,2,"50737",5,1,0,0,8.65014941866486,9.5428390100153,0,1,5,2,1,1,0,1,1,4,0,0,8,1,1,0,0,1,0,0,9.5428390100153,0,1,-0.873066424488873,0,1,1,1,1,0,0
"KSSTID0005",2,"1004-2",2,1004,0,"2020Q2",2020,2,45,46,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,4322.5715,0,4322.5715,1,14.46666667,0,0,"2020Q1",2,2,2,2,1,2,3,"2020Q1",1,4,5,1,NA,NA,1,1,"2020Q2",1,"1",4,2,2,4,"2020Q2",4,5,3,6,3,"3",1,1,"2020Q2",6,8,9,10,4,8,13943.48,13943.48,0,4.16,1,2,"38,649.00",5,1,0,0,8.37183707579121,9.5428390100153,0,0,5,1,1,1,0,1,1,3,0,0,8,1,1,0,0,1,0,0,8.65014941866486,0,1,-1.34162417703317,0,1,1,1,1,0,0
"KSSTID0005",3,"1004-3",2,1004,0,"2020Q3",2020,3,45,46,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,2140.45455,0,2140.45455,1,9.1,0,0,"2020Q2",2,1,0,2,2,1,3,"2020Q3",1,3,5,0,2,4,0,0,"2020Q3",1,"1",3,2,2,3,"2020Q3",5,5,6,6,0,"0",2,1,"2020Q3",6,10,8,3,6,1,13943.48,13943.48,0,4.16,1,2,"38,649.00",5,1,0,0,7.66924057338869,9.5428390100153,0,0,4,1,1,1,0,0,0,3,0,0,10,1,1,0,0,1,0,0,8.37183707579121,1,0,0.414457005963943,0,1,1,1,1,0,0
"KSSTID0005",4,"1004-4",2,1004,0,"2020Q4",2020,4,45,46,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,3404.5455,0,3404.5455,1,6.533333333,0,0,"2020Q3",2,1,0,2,2,1,4,"2020Q4",1,3,5,0,2,4,0,0,"2020Q4",1,"2",3,2,2,2,"2020Q4",4,5,3,6,0,"0",2,1,"2020Q4",4,9,8,6,5,1,13943.48,13943.48,0,4.16,1,2,"38,649.00",5,1,0,0,8.1331604113321,9.5428390100153,0,0,4,1,1,0,0,0,0,4,0,0,9,1,1,0,0,1,0,0,7.66924057338869,1,0,0.480691595082827,0,1,1,1,1,0,0
"KSSTID0005",5,"1004-5",2,1004,0,"2021Q1",2021,5,45,47,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,0,5578.26,5578.26,0,5.7,0,0,"2021Q1",2,1,0,2,2,2,4,"2021Q1",1,3,5,0,2,4,0,0,"2021Q1",1,"2",2,2,2,2,"2021Q1",1,1,6,6,3,"1",2,2,"2021Q1",6,9,8,3,6,1,13943.48,13943.48,0,4.16,1,2,"49,031.00",5,1,0,0,8.62681143009356,9.5428390100153,0,1,4,2,1,0,0,0,0,4,0,0,9,1,1,0,0,1,0,0,8.1331604113321,1,0,0.596207552915108,0,1,1,1,1,0,0
"KSSTID0005",6,"1004-6",2,1004,0,"2021Q2",2021,6,45,47,"Male","No Disabilities","English","67206","White",2,"Married","no",1753,730,0,0,0,7254.34,7254.34,0,5.066666667,0,0,"2021Q2",2,1,0,2,2,2,3,"2021Q2",1,3,5,0,2,4,0,0,"2021Q2",1,"2",2,2,2,1,"2021Q2",1,1,6,6,4,"2",2,3,"2021Q3",7,8,10,9,5,6,13943.48,13943.48,0,4.16,1,2,"49,031.00",5,1,0,0,8.88949302845176,9.5428390100153,0,1,4,3,1,0,0,0,0,3,0,0,8,1,1,0,0,1,0,0,8.62681143009356,0,1,-1.29307801359112,0,1,1,1,1,0,0
"KSSTID0006",1,"1006-1",2,1006,1,"2019Q4",2019,1,35,35,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,0,0,0,4695.47,4695.47,0,2.111111111,0,0,"2019Q4",2,1,0,2,2,2,3,"2019Q4",1,3,4,1,NA,NA,1,1,"2019Q4",2,"1",5,2,2,1,"2020Q1",1,1,6,6,5,"2",2,3,"2020Q1",8,9,10,8,6,1,4856.56,4856.56,0,2.77,0,2,"20,071.00",6,1,1,0,8.45456644167862,8.48829153320825,0,1,4,3,0,1,0,1,1,3,0,0,9,0,1,1,0,0,1,0,8.48829153320825,0,1,-0.923091959240449,0,1,0,1,1,0,0
"KSSTID0006",2,"1006-2",2,1006,1,"2020Q2",2020,2,35,36,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,1,0,0,6435.18,6435.18,0,3.622222222,0,0,"2020Q1",2,2,2,2,1,2,2,"2020Q1",1,5,4,1,NA,NA,1,1,"2020Q2",1,"1",3,2,2,1,"2020Q2",1,1,6,6,5,"3",2,3,"2020Q2",10,10,8,8,9,6,4856.56,4856.56,0,2.77,0,2,"24,347.00",6,1,1,0,8.76969047540298,8.48829153320825,0,1,6,3,1,1,0,1,1,2,0,0,10,0,1,1,0,0,1,0,8.45456644167862,0,1,-1.62630207667739,0,1,0,1,1,0,0
"KSSTID0006",3,"1006-3",2,1006,1,"2020Q3",2020,3,35,36,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,1,0,0,7203.63,7203.63,0,3.133333333,0,0,"2020Q2",2,1,0,2,1,2,3,"2020Q3",1,3,5,0,2,4,0,0,"2020Q3",1,"2",3,2,2,1,"2020Q3",1,1,6,6,4,"2",2,4,"2020Q3",8,8,8,7,7,1,4856.56,4856.56,0,2.77,0,2,"24,347.00",6,1,1,0,8.88247915388807,8.48829153320825,0,1,4,4,1,0,0,0,0,3,0,0,8,0,1,1,0,0,1,0,8.76969047540298,0,1,-0.216159586104263,0,1,0,1,1,0,0
"KSSTID0006",4,"1006-4",2,1006,1,"2020Q4",2020,4,35,36,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,1,0,0,6269.7,6269.7,0,2.344444444,0,0,"2020Q3",2,1,0,2,2,2,3,"2020Q4",1,3,3,0,2,4,0,0,"2020Q4",2,"2",3,2,2,1,"2020Q4",1,1,6,6,4,"1",2,3,"2020Q4",8,8,9,7,6,1,4856.56,4856.56,0,2.77,0,2,"24,347.00",6,1,1,0,8.7436432701386,8.48829153320825,0,1,4,3,0,0,0,0,0,3,0,0,8,0,1,1,0,0,1,0,8.88247915388807,0,1,-0.414543347129474,0,1,0,1,1,0,0
"KSSTID0006",5,"1006-5",2,1006,1,"2021Q1",2021,5,35,37,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,1,0,0,4881.12,4881.12,0,2.222222222,0,0,"2021Q1",2,1,0,2,2,2,3,"2021Q1",1,2,3,0,2,4,0,NA,"2021Q1",2,"2",3,2,2,2,"2021Q1",1,1,6,6,4,"1",2,3,"2021Q1",8,8,5,8,7,1,4856.56,4856.56,0,2.77,0,2,"23,526.00",6,1,1,0,8.49333483074095,8.48829153320825,0,1,3,3,0,0,0,0,0,3,0,0,8,0,1,1,0,0,1,0,8.7436432701386,0,1,0.130158241487845,0,1,0,1,1,0,0
"KSSTID0006",6,"1006-6",2,1006,1,"2021Q2",2021,6,35,37,"Female","No Disabilities","English","67846","White",2,"Single","yes",171,171,1,0,0,6288.65,6288.65,0,2.188888889,0,0,"2021Q2",2,1,0,2,1,2,3,"2021Q2",1,3,4,0,2,4,0,0,"2021Q2",2,"2",3,2,2,1,"2021Q2",1,1,6,6,4,"1",2,3,"2021Q3",8,7,11,3,8,6,4856.56,4856.56,0,2.77,0,2,"23,526.00",6,1,1,0,8.74666070426714,8.48829153320825,0,1,4,3,0,0,0,0,0,3,0,0,7,0,1,1,0,0,1,0,8.49333483074095,0,1,-0.433250577445472,0,1,0,1,1,0,0
"KSSTID0007",1,"1007-1",2,1007,1,"2019Q4",2019,1,51,51,"Female","Physical Disabilities","English","66208","Hispanic",0,"Divorced","no",1748,730,0,0,0,5954.65,5954.65,0,2.4,0,0,"2019Q4",2,1,0,2,2,2,4,"2019Q4",5,0,1,2,2,4,1,1,"2019Q4",1,"1",5,2,2,3,"2020Q1",1,1,6,6,5,"2",2,2,"2020Q1",6,8,7,9,4,1,2734.64,2734.64,0,3.11,0,1,"24,232.00",7,0,1,1,8.69209562780589,7.9141206911378,0,1,NA,2,1,1,0,1,1,4,0,0,8,0,1,1,0,0,0,1,7.9141206911378,0,0,-0.0650870544511973,0,1,1,1,1,0,0
